# timestamp tx ty tz psi
0.0 0.0 0.0 2 0.0
0.005 6.249996744811526e-06 0.004999994791668294 2 0.005
0.01 2.4999947916715115e-05 0.009999958333385416 2 0.01
0.015 5.6249736328561895e-05 0.014999859375395507 2 0.015
0.02 9.999916666947328e-05 0.01999966666833333 2 0.02
0.025 0.00015624796550528508 0.024999348963419578 2 0.025
0.03 0.0002249957812816561 0.02999887501265618 2 0.03
0.035 0.0003062421843245122 0.034998213569021615 2 0.035
0.04 0.00039998666684448736 0.03999733338666616 2 0.04
0.045 0.0005062286429384777 0.044996203221107235 2 0.045
0.05 0.0006249674485947487 0.049994791829424665 2 0.05
0.055 0.000756202341696266 0.054993067970455896 2 0.055
0.06 0.0008999325020249138 0.05999100040499132 2 0.06
0.065 0.0010561570312681567 0.06498855789596951 2 0.065
0.07 0.0012248749530228142 0.06998570920867239 2 0.07
0.075 0.0014060852128026102 0.07498242311092053 2 0.075
0.08 0.0015997866780441683 0.07997866837326832 2 0.08
0.085 0.001805978138113673 0.08497441376919912 2 0.085
0.09 0.0020246583043150856 0.08996962807532047 2 0.09
0.095 0.0022558258098985817 0.09496428007155923 2 0.095
0.1 0.0024994792100674346 0.09995833854135666 2 0.1
0.105 0.0027556169819891174 0.10495177227186359 2 0.105
0.11 0.003024237524803075 0.10994455005413546 2 0.11
0.115 0.003305339159632048 0.1149366406833274 2 0.115
0.12 0.0035989201295916207 0.11992801295888919 2 0.12
0.125 0.003904978599801767 0.1249186356847604 2 0.125
0.13 0.004223512657397732 0.1299084776695652 2 0.13
0.135 0.004554520311543131 0.13489750772680745 2 0.135
0.14 0.00489799949344083 0.13988569467506554 2 0.14
0.145 0.0052539480563473795 0.14487300733818723 2 0.145
0.15 0.005622363775585004 0.14985941454548468 2 0.15
0.155 0.006003244348557146 0.15484488513192904 2 0.155
0.16 0.006396587394761122 0.1598293879383454 2 0.16
0.165 0.006802390455804552 0.16481289181160738 2 0.165
0.17 0.007220650995419131 0.16979536560483205 2 0.17
0.17500000000000002 0.0076513663994779435 0.17477677817757442 2 0.17500000000000002
0.18 0.008094533976011453 0.17975709839602208 2 0.18
0.185 0.00855015095522349 0.18473629513318995 2 0.185
0.19 0.009018214489509457 0.1897143372691146 2 0.19
0.195 0.009498721653473874 0.19469119369104887 2 0.195
0.2 0.009991669443948359 0.1996668332936563 2 0.2
0.20500000000000002 0.010497054780011172 0.20464122497920564 2 0.20500000000000002
0.21 0.011014874503005201 0.20961433765776497 2 0.21
0.215 0.011545125376558829 0.2145861402473963 2 0.215
0.22 0.012087804086606369 0.21955660167434962 2 0.22
0.225 0.012642907241407153 0.22452569087325716 2 0.225
0.23 0.01321043137156841 0.22949337678732765 2 0.23
0.23500000000000001 0.01379037293006613 0.23445962836854023 2 0.23500000000000001
0.24 0.0143827282922675 0.23942441457783872 2 0.24
0.245 0.01498749375595354 0.24438770438532548 2 0.245
0.25 0.015604665541341989 0.24934946677045539 2 0.25
0.255 0.01623423979111105 0.25430967072222965 2 0.255
0.26 0.01687621257042382 0.2592682852393897 2 0.26
0.265 0.017530579866952722 0.264225279330611 2 0.265
0.27 0.01819733759090414 0.2691806220146966 2 0.27
0.275 0.01887648157504418 0.27413428232077086 2 0.275
0.28 0.019568007574725765 0.279086229288473 2 0.28
0.28500000000000003 0.020271911267913056 0.28403643196815054 2 0.28500000000000003
0.29 0.020988188255210538 0.2889848594210528 2 0.29
0.295 0.021716834059889223 0.29393148071952446 2 0.295
0.3 0.022457844127915516 0.29887626494719843 2 0.3
0.305 0.023211213827978527 0.3038191811991894 2 0.305
0.31 0.02397693845152027 0.3087601985822868 2 0.31
0.315 0.0247550132127643 0.31369928621514825 2 0.315
0.32 0.02554543324874614 0.31863641322849195 2 0.32
0.325 0.02634819361934282 0.3235715487652902 2 0.325
0.33 0.027163289307304606 0.32850466198096195 2 0.33
0.335 0.027990715218286333 0.3334357220435657 2 0.335
0.34 0.028830466180878478 0.33836469813399206 2 0.34
0.34500000000000003 0.029682536946640692 0.3432915594461565 2 0.34500000000000003
0.35000000000000003 0.030546922190133108 0.34821627518719195 2 0.35000000000000003
0.355 0.03142361650895076 0.3531388145776409 2 0.355
0.36 0.0323126144237571 0.35805914685164836 2 0.36
0.365 0.03321391037831822 0.3629772412571535 2 0.365
0.37 0.03412749873953702 0.36789306705608243 2 0.37
0.375 0.03505337379748941 0.37280659352453976 2 0.375
0.38 0.035991529765459385 0.37771778995300115 2 0.38
0.385 0.036941960779975025 0.3826266256465049 2 0.385
0.39 0.037904660900845544 0.3875330699248439 2 0.39
0.395 0.038879624111198385 0.3924370921227573 2 0.395
0.4 0.03986684431751675 0.39733866159012243 2 0.4
0.405 0.04086631534967755 0.4022377476921461 2 0.405
0.41000000000000003 0.041878030960989854 0.407134319809556 2 0.41000000000000003
0.41500000000000004 0.042901984828234596 0.4120283473387924 2 0.41500000000000004
0.42 0.04393817055170346 0.4169197996921991 2 0.42
0.425 0.044986581655239055 0.421808646298215 2 0.425
0.43 0.04604721158627534 0.4266948566015646 2 0.43
0.435 0.04712005371587846 0.4315784000634494 2 0.435
0.44 0.04820510133878897 0.43645924616173865 2 0.44
0.445 0.04930234767346264 0.44133736439116017 2 0.445
0.45 0.05041178586211337 0.4462127242634909 2 0.45
0.455 0.0515334089707562 0.4510852953077475 2 0.455
0.46 0.05266720998925023 0.4559550470703768 2 0.46
0.465 0.05381318183134298 0.46082194911544616 2 0.465
0.47000000000000003 0.05497131733471394 0.4656859710248336 2 0.47000000000000003
0.47500000000000003 0.056141609261020076 0.470547082398418 2 0.47500000000000003
0.48 0.057324050295940676 0.47540525285426916 2 0.48
0.485 0.058518633049223334 0.48026045202883755 2 0.485
0.49 0.05972535005472923 0.4851126495771441 2 0.49
0.495 0.060944193770481325 0.48996181517296994 2 0.495
0.5 0.06217515657871053 0.4948079185090459 2 0.5
0.505 0.06341823078590281 0.4996509292972418 2 0.505
0.51 0.06467340862284887 0.5044908172687561 2 0.51
0.515 0.06594068224469107 0.5093275521743047 2 0.515
0.52 0.06722004373097357 0.5141611037843102 2 0.52
0.525 0.06851148508569116 0.5189914418890907 2 0.525
0.53 0.0698149982373395 0.5238185362990488 2 0.53
0.535 0.0711305750389657 0.5286423568448603 2 0.535
0.54 0.07245820726821894 0.5334628733776623 2 0.54
0.545 0.07379788662740228 0.5382800557692422 2 0.545
0.55 0.07514960474352406 0.5430938739122257 2 0.55
0.555 0.0765133531683504 0.5479042977202653 2 0.555
0.56 0.07788912337845821 0.5527112971282275 2 0.56
0.5650000000000001 0.07927690677528787 0.5575148420923819 2 0.5650000000000001
0.5700000000000001 0.08067669468519778 0.5623149025905881 2 0.5700000000000001
0.5750000000000001 0.08208847835951816 0.5671114486224835 2 0.5750000000000001
0.58 0.08351224897460563 0.5719044502096711 2 0.58
0.585 0.08494799763189853 0.5766938773959065 2 0.585
0.59 0.08639571535797219 0.5814797002472855 2 0.59
0.595 0.08785539310459578 0.5862618888524308 2 0.595
0.6 0.08932702174878804 0.5910404133226791 2 0.6
0.605 0.09081059209287456 0.5958152437922681 2 0.605
0.61 0.09230609486454577 0.600586350418523 2 0.61
0.615 0.0938135207169144 0.6053537033820429 2 0.615
0.62 0.09533286022857324 0.610117272886887 2 0.62
0.625 0.09686410390365552 0.6148770291607617 2 0.625
0.63 0.09840724217189356 0.6196329424552057 2 0.63
0.635 0.0999622653886778 0.6243849830457764 2 0.635
0.64 0.10152916383511834 0.6291331212322355 2 0.64
0.645 0.10310792771810484 0.6338773273387349 2 0.645
0.65 0.10469854717036853 0.6386175717140019 2 0.65
0.655 0.10630101225054278 0.6433538247315245 2 0.655
0.66 0.10791531294322598 0.6480860567897367 2 0.66
0.665 0.10954143915904435 0.6528142383122036 2 0.665
0.67 0.1111793807347139 0.6575383397478063 2 0.67
0.675 0.11282912743310547 0.6622583315709258 2 0.675
0.68 0.11449066894330762 0.6669741842816288 2 0.68
0.685 0.11616399488069096 0.6716858684058512 2 0.685
0.6900000000000001 0.11784909478697392 0.6763933544955826 2 0.6900000000000001
0.6950000000000001 0.11954595813028779 0.6810966131290501 2 0.6950000000000001
0.7000000000000001 0.12125457430524222 0.6857956149109028 2 0.7000000000000001
0.705 0.12297493263299142 0.6904903304723945 2 0.705
0.71 0.12470702236130138 0.6951807304715686 2 0.71
0.715 0.12645083266461743 0.6998667855934401 2 0.715
0.72 0.12820635264413038 0.7045484665501799 2 0.72
0.725 0.12997357132784604 0.7092257440812972 2 0.725
0.73 0.1317524776706538 0.7138985889538227 2 0.73
0.735 0.13354306055439458 0.7185669719624912 2 0.735
0.74 0.13534530878793105 0.723230863929924 2 0.74
0.745 0.13715921110721796 0.7278902357068114 2 0.745
0.75 0.13898475617537143 0.7325450581720951 2 0.75
0.755 0.1408219325827409 0.7371953022331499 2 0.755
0.76 0.1426707288469795 0.7418409388259654 2 0.76
0.765 0.14453113341311696 0.746481938915328 2 0.765
0.77 0.14640313465363053 0.7511182734950025 2 0.77
0.775 0.1482867208685188 0.7557499135879125 2 0.775
0.78 0.15018188028537383 0.7603768302463229 2 0.78
0.785 0.15208860105945576 0.7649989945520194 2 0.785
0.79 0.15400687127376544 0.76961637761649 2 0.79
0.795 0.15593667893912078 0.774228950581106 2 0.795
0.8 0.1578780119942298 0.778836684617301 2 0.8
0.805 0.1598308583057675 0.7834395509267524 2 0.805
0.81 0.16179520566845063 0.7880375207415609 2 0.81
0.8150000000000001 0.1637710418051146 0.7926305653244299 2 0.8150000000000001
0.8200000000000001 0.16575835436678976 0.7972186559688459 2 0.8200000000000001
0.8250000000000001 0.16775713093277944 0.8018017639992571 2 0.8250000000000001
0.8300000000000001 0.16976735901073647 0.8063798607712533 2 0.8300000000000001
0.835 0.17178902603674184 0.8109529176717446 2 0.835
0.84 0.1738221193753835 0.8155209061191403 2 0.84
0.845 0.1758666263198343 0.8200837975635276 2 0.845
0.85 0.1779225340919326 0.8246415634868495 2 0.85
0.855 0.17998982984226175 0.829194175403084 2 0.855
0.86 0.18206850065022984 0.8337416048584215 2 0.86
0.865 0.1841585335241509 0.8382838234314426 2 0.865
0.87 0.1862599154013267 0.8428208027332961 2 0.87
0.875 0.18837263314812724 0.8473525144078761 2 0.875
0.88 0.19049667356007327 0.8518789301319992 2 0.88
0.885 0.1926320233619192 0.8564000216155822 2 0.885
0.89 0.1947786692077358 0.8609157606018177 2 0.89
0.895 0.19693659768099336 0.865426118867352 2 0.895
0.9 0.19910579529464623 0.8699310682224605 2 0.9
0.905 0.20128624849121612 0.8744305805112244 2 0.905
0.91 0.20347794364287775 0.8789246276117065 2 0.91
0.915 0.20568086705154354 0.8834131814361271 2 0.915
0.92 0.20789500494894964 0.8878962139310396 2 0.92
0.925 0.2101203434967409 0.8923736970775051 2 0.925
0.93 0.2123568687865589 0.8968456028912689 2 0.93
0.935 0.21460456684012774 0.901311903422934 2 0.935
0.9400000000000001 0.21686342360934208 0.9057725707581367 2 0.9400000000000001
0.9450000000000001 0.21913342497635457 0.9102275770177205 2 0.9450000000000001
0.9500000000000001 0.22141455675366362 0.914676894357911 2 0.9500000000000001
0.9550000000000001 0.22370680468420345 0.9191204949704892 2 0.9550000000000001
0.96 0.2260101544414317 0.9235583510829658 2 0.96
0.965 0.22832459162941987 0.9279904349587544 2 0.965
0.97 0.23065010178294343 0.9324167188973455 2 0.97
0.975 0.23298667036757115 0.9368371752344785 2 0.975
0.98 0.2353342827797571 0.941251776342316 2 0.98
0.985 0.23769292434693123 0.9456604946296154 2 0.985
0.99 0.24006258032759153 0.9500633025419016 2 0.99
0.995 0.24244323591139594 0.9544601725616396 2 0.995
1.0 0.24483487621925448 0.958851077208406 2 1.0
1.0050000000000001 0.24723748630342346 0.9632359890390613 2 1.0050000000000001
1.01 0.24965105114759734 0.9676148806479203 2 1.01
1.0150000000000001 0.2520755556670038 0.9719877246669253 2 1.0150000000000001
1.02 0.2545109847084974 0.976354493765815 2 1.02
1.025 0.2569573230506548 0.9807151606522969 2 1.025
1.03 0.25941455540386915 0.9850696980722173 2 1.03
1.035 0.2618826664104461 0.9894180788097312 2 1.035
1.04 0.26436164064470025 0.9937602756874735 2 1.04
1.045 0.26685146261305026 0.9980962615667274 2 1.045
1.05 0.2693521167541175 1.0024260093475958 2 1.05
1.055 0.2718635874388211 1.0067494919691686 2 1.055
1.06 0.27438585897047796 1.0110666824096939 2 1.06
1.065 0.276918915584899 1.0153775536867453 2 1.065
1.07 0.27946274145048866 1.0196820788573917 2 1.07
1.075 0.2820173206683434 1.023980231018364 2 1.075
1.08 0.28458263727235167 1.0282719833062264 2 1.08
1.085 0.28715867522929295 1.0325573088975397 2 1.085
1.09 0.28974541843893853 1.036836181009034 2 1.09
1.095 0.29234285073415145 1.0411085728977718 2 1.095
1.1 0.29495095588098863 1.0453744578613184 2 1.1
1.105 0.297569717578801 1.049633809237906 2 1.105
1.11 0.30019911946033706 1.0538866004066028 2 1.11
1.115 0.30283914509184306 1.0581328047874774 2 1.115
1.12 0.3054897779731678 1.0623723958417668 2 1.12
1.125 0.3081510015378641 1.0666053470720402 2 1.125
1.1300000000000001 0.31082279915329347 1.0708316320223668 2 1.1300000000000001
1.135 0.31350515412072966 1.0750512242784787 2 1.135
1.1400000000000001 0.3161980496754626 1.0792640974679386 2 1.1400000000000001
1.145 0.31890146898690386 1.0834702252603023 2 1.145
1.1500000000000001 0.32161539515869175 1.0876695813672852 2 1.1500000000000001
1.155 0.3243398112287963 1.091862139542925 2 1.155
1.16 0.32707470016962614 1.0960478735837471 2 1.16
1.165 0.3298200448881341 1.100226757328927 2 1.165
1.17 0.3325758282259248 1.1043987646604552 2 1.17
1.175 0.33534203295936127 1.1085638695032993 2 1.175
1.18 0.3381186417996729 1.1127220458255676 2 1.18
1.185 0.3409056373930637 1.1168732676386717 2 1.185
1.19 0.34370300232081985 1.1210175089974883 2 1.19
1.195 0.3465107190994201 1.1251547440005234 2 1.195
1.2 0.34932877018064334 1.1292849467900707 2 1.2
1.205 0.3521571379516799 1.1334080915523768 2 1.205
1.21 0.35499580473523995 1.1375241525178001 2 1.21
1.215 0.35784475278966577 1.141633103960973 2 1.215
1.22 0.36070396430904106 1.1457349202009626 2 1.22
1.225 0.36357342142330307 1.1498295756014305 2 1.225
1.23 0.36645310619835425 1.1539170445707936 2 1.23
1.235 0.3693430006361744 1.1579973015623846 2 1.235
1.24 0.3722430866749322 1.1620703210746102 2 1.24
1.245 0.3751533461890997 1.166136077651112 2 1.245
1.25 0.37807376098956413 1.1701945458809244 2 1.25
1.2550000000000001 0.38100431282374303 1.1742457003986344 2 1.2550000000000001
1.26 0.38394498337569627 1.178289515884539 2 1.26
1.2650000000000001 0.386895754266243 1.1823259670648052 2 1.2650000000000001
1.27 0.38985660705307446 1.1863550287116258 2 1.27
1.2750000000000001 0.39282752323087067 1.190376675643379 2 1.2750000000000001
1.28 0.3958084842314147 1.1943908827247842 2 1.28
1.285 0.3987994714237104 1.1983976248670603 2 1.285
1.29 0.4018004661140977 1.2023968770280822 2 1.29
1.295 0.40481144954636905 1.2063886142125364 2 1.295
1.3 0.40783240290188827 1.210372811472079 2 1.3
1.305 0.41086330729970655 1.21434944390549 2 1.305
1.31 0.41390414379668106 1.2183184866588297 2 1.31
1.315 0.41695489338759373 1.2222799149255932 2 1.315
1.32 0.42001553700526983 1.2262337039468676 2 1.32
1.325 0.42308605552069634 1.2301798290114838 2 1.325
1.33 0.42616642974314267 1.2341182654561733 2 1.33
1.335 0.4292566404202798 1.2380489886657209 2 1.335
1.34 0.43235666823830154 1.2419719740731194 2 1.34
